Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-13CZU	GTEX-13CZU		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13CZU		individual_organism
GTEX-13CZV	GTEX-13CZV		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13CZV		individual_organism
GTEX-13D11	GTEX-13D11		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13D11		individual_organism
GTEX-13FH7	GTEX-13FH7		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13FH7		individual_organism
GTEX-13FHO	GTEX-13FHO		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13FHO		individual_organism
GTEX-13FHP	GTEX-13FHP		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13FHP		individual_organism
GTEX-13FLV	GTEX-13FLV		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13FLV		individual_organism
GTEX-13FLW	GTEX-13FLW		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13FLW		individual_organism
GTEX-13FTW	GTEX-13FTW		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13FTW		individual_organism
GTEX-13FTX	GTEX-13FTX		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13FTX		individual_organism
GTEX-13FTY	GTEX-13FTY		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13FTY		individual_organism
GTEX-13FTZ	GTEX-13FTZ		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13FTZ		individual_organism
GTEX-13FXS	GTEX-13FXS		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13FXS		individual_organism
GTEX-13G51	GTEX-13G51		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13G51		individual_organism
GTEX-13IVO	GTEX-13IVO		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13IVO		individual_organism
GTEX-13JUV	GTEX-13JUV		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13JUV		individual_organism
GTEX-13JVG	GTEX-13JVG		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13JVG		individual_organism
GTEX-13N11	GTEX-13N11		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13N11		individual_organism
GTEX-13N1W	GTEX-13N1W		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13N1W		individual_organism
