Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-111VG-2226-SM-5N9DU	GTEX-111VG-2226-SM-5N9DU		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111VG-2226-SM-5N9DU		biosample
GTEX-111VG-2326-SM-5N9BK	GTEX-111VG-2326-SM-5N9BK		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111VG-2326-SM-5N9BK		biosample
GTEX-111VG-2426-SM-5GZXD	GTEX-111VG-2426-SM-5GZXD		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111VG-2426-SM-5GZXD		biosample
GTEX-111VG-2526-SM-5GZXP	GTEX-111VG-2526-SM-5GZXP		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111VG-2526-SM-5GZXP		biosample
GTEX-111VG-2626-SM-5GZY2	GTEX-111VG-2626-SM-5GZY2		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111VG-2626-SM-5GZY2		biosample
GTEX-111YS-0006-SM-5NQBE	GTEX-111YS-0006-SM-5NQBE		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-0006-SM-5NQBE		biosample
GTEX-111YS-0008-SM-5Q5BH	GTEX-111YS-0008-SM-5Q5BH		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-0008-SM-5Q5BH		biosample
GTEX-111YS-0126-SM-5987T	GTEX-111YS-0126-SM-5987T		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-0126-SM-5987T		biosample
GTEX-111YS-0326-SM-5GZZ3	GTEX-111YS-0326-SM-5GZZ3		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-0326-SM-5GZZ3		biosample
GTEX-111YS-0426-SM-5987O	GTEX-111YS-0426-SM-5987O		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-0426-SM-5987O		biosample
GTEX-111YS-0526-SM-5GZXJ	GTEX-111YS-0526-SM-5GZXJ		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-0526-SM-5GZXJ		biosample
